term,coef,se_HC3,p_value
Intercept,0.08554017768821412,0.004076428090515227,9.163998865266068e-98
C(year)[T.2023],0.038774543748044905,0.006949219135282103,2.4093661198197433e-08
poverty_rate_5_17,0.0023714955805910994,0.00014832385426398882,1.5336090639273868e-57
poverty_rate_5_17:C(year)[T.2023],0.0006083983046421975,0.00023308627570276715,0.009049326513225887
student_teacher_ratio_clean,0.00030954489688572446,0.0002471479710821322,0.21039942307540516
student_teacher_ratio_clean:C(year)[T.2023],0.0033193279696410003,0.00042994151330756733,1.1594930987936703e-14
pct_black,0.11325097977681003,0.006546222182428938,4.687254855504284e-67
pct_hispanic,0.03652990836986942,0.003479273032931521,8.702912867359126e-26
